
                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022a Update 5 (9.12.0.2039608) 64-bit (glnxa64)
                              August 12, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> This is Threenonlinear network , ini learningRate = 1.000000e-02 , min batch size = 400 , DropPeriod = 6 , DropFactor = 0.100000 
>> Hidden Units = 60 , v2 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> load amp=2 
load amp=3 
load amp=4 
load amp=5 
load amp=6 
load amp=7 
load amp=8 
load amp=9 
load amp=10 
load amp=11 
load amp=12 
load amp=13 
load amp=14 
load amp=15 
load amp=16 
load amp=17 
load amp=18 
load amp=19 
load amp=20 
load amp=21 
load amp=22 
load amp=23 
load amp=24 
load amp=25 
load amp=26 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      17 |         924 |       00:05:19 |         0.06 |     9.24e-03 |       0.0020 |   4.2693e-05 |      1.0000e-04 |
|      17 |         938 |       00:05:23 |         0.06 |     9.03e-03 |       0.0019 |   4.0801e-05 |      1.0000e-04 |
|      17 |         950 |       00:05:27 |         0.06 |              |       0.0020 |              |      1.0000e-04 |
|      17 |         952 |       00:05:28 |         0.06 |     9.05e-03 |       0.0019 |   4.0956e-05 |      1.0000e-04 |
|      18 |         966 |       00:05:33 |         0.06 |     9.08e-03 |       0.0019 |   4.1263e-05 |      1.0000e-04 |
|      18 |         980 |       00:05:38 |         0.06 |     9.07e-03 |       0.0020 |   4.1150e-05 |      1.0000e-04 |
|      18 |         994 |       00:05:42 |         0.06 |     9.06e-03 |       0.0019 |   4.1068e-05 |      1.0000e-04 |
|      18 |        1000 |       00:05:45 |         0.06 |              |       0.0019 |              |      1.0000e-04 |
|      18 |        1008 |       00:05:47 |         0.06 |     9.00e-03 |       0.0019 |   4.0521e-05 |      1.0000e-04 |
|      19 |        1022 |       00:05:52 |         0.06 |     9.01e-03 |       0.0019 |   4.0633e-05 |      1.0000e-05 |
|      19 |        1036 |       00:05:57 |         0.06 |     9.02e-03 |       0.0017 |   4.0678e-05 |      1.0000e-05 |
|      19 |        1050 |       00:06:02 |         0.06 |     9.04e-03 |       0.0019 |   4.0841e-05 |      1.0000e-05 |
|      19 |        1064 |       00:06:06 |         0.06 |     9.04e-03 |       0.0020 |   4.0894e-05 |      1.0000e-05 |
|      20 |        1078 |       00:06:11 |         0.06 |     9.05e-03 |       0.0020 |   4.0975e-05 |      1.0000e-05 |
