
                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
             R2022a Update 5 (9.12.0.2039608) 64-bit (glnxa64)
                              August 12, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> This is Threenonlinear network , ini learningRate = 1.000000e-02 , min batch size = 400 , DropPeriod = 5 , DropFactor = 0.100000 
>> Hidden Units = 60 , v5 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> load amp=2 
load amp=3 
load amp=4 
load amp=5 
load amp=6 
load amp=7 
load amp=8 
load amp=9 
load amp=10 
load amp=11 
load amp=12 
load amp=13 
load amp=14 
load amp=15 
load amp=16 
load amp=17 
load amp=18 
load amp=19 
load amp=20 
load amp=21 
load amp=22 
load amp=23 
load amp=24 
load amp=25 
load amp=26 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Training on single GPU.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     RMSE     |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      12 |         630 |       00:03:58 |         0.06 |     7.36e-03 |       0.0019 |   2.7081e-05 |      1.0000e-04 |
|      12 |         644 |       00:04:03 |         0.06 |     7.53e-03 |       0.0019 |   2.8374e-05 |      1.0000e-04 |
|      12 |         650 |       00:04:06 |         0.06 |              |       0.0020 |              |      1.0000e-04 |
|      12 |         658 |       00:04:09 |         0.07 |     7.38e-03 |       0.0022 |   2.7198e-05 |      1.0000e-04 |
|      12 |         672 |       00:04:14 |         0.06 |     7.62e-03 |       0.0021 |   2.9032e-05 |      1.0000e-04 |
|      13 |         686 |       00:04:19 |         0.06 |     7.60e-03 |       0.0020 |   2.8909e-05 |      1.0000e-04 |
|      13 |         700 |       00:04:25 |         0.06 |     7.60e-03 |       0.0017 |   2.8844e-05 |      1.0000e-04 |
|      13 |         714 |       00:04:30 |         0.06 |     7.39e-03 |       0.0018 |   2.7320e-05 |      1.0000e-04 |
|      13 |         728 |       00:04:35 |         0.06 |     7.58e-03 |       0.0020 |   2.8734e-05 |      1.0000e-04 |
|      14 |         742 |       00:04:41 |         0.06 |     7.40e-03 |       0.0021 |   2.7383e-05 |      1.0000e-04 |
|      14 |         750 |       00:04:44 |         0.06 |              |       0.0018 |              |      1.0000e-04 |
|      14 |         756 |       00:04:46 |         0.06 |     7.36e-03 |       0.0019 |   2.7100e-05 |      1.0000e-04 |
|      14 |         770 |       00:04:51 |         0.06 |     7.49e-03 |       0.0019 |   2.8018e-05 |      1.0000e-04 |
|      14 |         784 |       00:04:56 |         0.06 |     7.36e-03 |       0.0020 |   2.7117e-05 |      1.0000e-04 |
|      15 |         798 |       00:05:02 |         0.06 |     7.53e-03 |       0.0019 |   2.8387e-05 |      1.0000e-04 |
|      15 |         800 |       00:05:03 |         0.06 |              |       0.0019 |              |      1.0000e-04 |
|      15 |         812 |       00:05:07 |         0.06 |     7.41e-03 |       0.0020 |   2.7435e-05 |      1.0000e-04 |
|      15 |         826 |       00:05:13 |         0.06 |     7.33e-03 |       0.0021 |   2.6861e-05 |      1.0000e-04 |
|      15 |         840 |       00:05:18 |         0.06 |     7.49e-03 |       0.0018 |   2.8072e-05 |      1.0000e-04 |
|      16 |         850 |       00:05:22 |         0.06 |              |       0.0020 |              |      1.0000e-05 |
|      16 |         854 |       00:05:23 |         0.06 |     7.43e-03 |       0.0019 |   2.7607e-05 |      1.0000e-05 |
|      16 |         868 |       00:05:28 |         0.06 |     7.38e-03 |       0.0019 |   2.7262e-05 |      1.0000e-05 |
|      16 |         882 |       00:05:34 |         0.06 |     7.35e-03 |       0.0018 |   2.7037e-05 |      1.0000e-05 |
|      16 |         896 |       00:05:39 |         0.06 |     7.38e-03 |       0.0019 |   2.7256e-05 |      1.0000e-05 |
|      17 |         900 |       00:05:40 |         0.06 |              |       0.0018 |              |      1.0000e-05 |
|      17 |         910 |       00:05:44 |         0.06 |     7.40e-03 |       0.0019 |   2.7400e-05 |      1.0000e-05 |
|      17 |         924 |       00:05:49 |         0.06 |     7.41e-03 |       0.0019 |   2.7478e-05 |      1.0000e-05 |
|      17 |         938 |       00:05:55 |         0.06 |     7.39e-03 |       0.0019 |   2.7307e-05 |      1.0000e-05 |
|      17 |         950 |       00:05:59 |         0.06 |              |       0.0020 |              |      1.0000e-05 |
|      17 |         952 |       00:06:00 |         0.06 |     7.38e-03 |       0.0018 |   2.7240e-05 |      1.0000e-05 |
